,kakaopay,naverpay,payco,zeropay,apple_visa,apple_master,apple_jcb,conless_visa,conless_master,conless_union,conless_amex,conless_jcb,google_visa,google_master,google_maestro,toss
gs25,o,o,o,o,o,,,o,,o,,o,o,,,
cu,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
seven 11,o,o,o,o,o,,,o,,,,o,o,,,
미니스톱,o,o,o,o,o,o,,o,o,o,,,o,,,
롯데리아,o,,o,o,,o,,o,o,o,o,,,,,
메가커피,o,o,o,,,,,,,,,,,,,
빽다방,o,,o,,o,,,o,o,o,,,,,,
버거킹,,,o,,,,,,,,,,,,,
올리브영,o,,o,,,,,o,,o,,,,,,
이디야,o,o,o,,,,,,,,,,,,,
파리바게트,o,o,o,o,,o,,o,o,o,o,,,,,
이니스프리,o,,o,,,,,,,,,,,,,
이삭토스트,o,,o,,,,,,,,,,,,,
본죽,,,o,,,,,,,,,,,,,
할리스커피,o,,o,,,,,,,,,,,,,
파스쿠찌,o,,o,,,,,,,o,,,,,,
매머드커피,,o,o,,,,,,,,,,,,,
초록마을,o,,o,,,,,o,,,,,,,,
컴포즈커피,,,o,,,,,,,,,,,,,
응응스크르,,,o,,,,,,,,,,,,,
던킨도너츠,o,o,o,,,,,,,o,,,,,,
공차,o,,o,,,,,o,,o,,,,,,
갤러리아백화점,o,o,o,,,,,,,,,,,,,
현대백화점,o,o,o,,,,,,,,,,,,,
이마트24,o,o,o,o,,,,,,,,,,,,
롯데슈퍼,o,o,o,,,,,,,,,,,,,
아이파킹,,,o,,,,,,,,,,,,,
서브웨이,o,o,o,,,,,,,,,,,,,
